849,236,329,0
88,795,330,1
954,146,78,0
361,480,538,1
953,567,772,1
252,137,699,0
721,814,942,0
686,640,710,1
487,437,284,0
300,269,390,0
288,190,129,0
154,651,289,0
633,433,837,0
757,677,111,0
672,828,978,0
83,81,730,0
403,701,681,0
576,544,37,1
592,307,402,1
146,728,46,1
102,518,555,0
674,130,833,1
766,318,960,0
72,138,366,0
181,145,637,0
77,694,761,0
396,494,969,0
474,532,804,1
861,283,470,0
78,712,760,0
560,286,72,1
949,267,512,1
728,627,557,0
925,976,665,1
282,260,770,1
123,787,32,1
205,272,409,0
460,626,580,1
834,928,959,0
564,335,31,1
952,684,220,0
21,648,20,0
608,252,907,1
446,802,685,0
265,748,945,0
393,484,372,1
193,365,801,1
970,360,592,0
363,734,271,0
63,124,994,0
96,362,802,0
908,101,291,1
185,612,244,1
604,762,209,0
581,140,697,0
873,13,815,0
920,343,486,1
859,97,845,0
260,773,256,1
783,354,731,0
902,468,363,1
986,970,478,1
670,166,927,1
112,953,263,0
